,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,kappa_mean,kappa_std,precision_macro_mean,precision_macro_std,precision_micro_mean,precision_micro_std,precision_weighted_mean,precision_weighted_std,recall_macro_mean,recall_macro_std,recall_micro_mean,recall_micro_std,recall_weighted_mean,recall_weighted_std
LogisticRegression,0.7747747747747747,0.0,0.6937134281444155,0.0,0.7747747747747747,0.0,0.7867557397054523,0.0,0.6950884518184814,0.0,0.6832217782217782,0.0,0.7747747747747747,0.0,0.8106852606852607,0.0,0.7543394777265744,0.0,0.7747747747747747,0.0,0.7747747747747747,0.0
RandomForestClassifier,0.8558558558558559,0.0,0.7929182389937106,0.0,0.8558558558558559,0.0,0.855467165278486,0.0,0.8020066889632107,0.0,0.7861091721345805,0.0,0.8558558558558559,0.0,0.8609043218843582,0.0,0.8046466973886328,0.0,0.8558558558558559,0.0,0.8558558558558559,0.0
MLPClassifier,0.7387387387387387,0.0,0.6538801725897614,0.0,0.7387387387387387,0.0,0.7703467515068756,0.0,0.66015625,0.0,0.6652000107172521,0.0,0.7387387387387387,0.0,0.8404670887429507,0.0,0.7369815668202764,0.0,0.7387387387387387,0.0,0.7387387387387387,0.0
LinearDiscriminantAnalysis,0.6846846846846847,0.0,0.6029491089835918,0.0,0.6846846846846847,0.0,0.7189573501316279,0.0,0.5874044180118947,0.0,0.6182671957671958,0.0,0.6846846846846847,0.0,0.7796570379903713,0.0,0.6721966205837174,0.0,0.6846846846846847,0.0,0.6846846846846847,0.0
GaussianNB,0.6216216216216216,0.0,0.5703362360909531,0.0,0.6216216216216216,0.0,0.619409467522675,0.0,0.4968159740960605,0.0,0.585819913769097,0.0,0.6216216216216216,0.0,0.6924832532818014,0.0,0.6393241167434716,0.0,0.6216216216216216,0.0,0.6216216216216216,0.0
MultinomialNB,0.7027027027027027,0.0,0.6144620665167475,0.0,0.7027027027027027,0.0,0.7352340860211614,0.0,0.614218009478673,0.0,0.6293103448275862,0.0,0.7027027027027027,0.0,0.8129595112353732,0.0,0.6990783410138248,0.0,0.7027027027027027,0.0,0.7027027027027027,0.0
BernoulliNB,0.7747747747747747,0.0,0.7270588235294116,0.0,0.7747747747747747,0.0,0.7701112877583465,0.0,0.6987297796113343,0.0,0.7205176859825817,0.0,0.7747747747747747,0.0,0.8119167189375918,0.0,0.7701228878648234,0.0,0.7747747747747747,0.0,0.7747747747747747,0.0
KNeighborsClassifier,0.8108108108108109,0.0,0.7362962962962964,0.0,0.8108108108108109,0.0,0.813013013013013,0.0,0.7414596273291925,0.0,0.7149108846386524,0.0,0.8108108108108109,0.0,0.82062819485687,0.0,0.7701228878648234,0.0,0.8108108108108109,0.0,0.8108108108108109,0.0
DecisionTreeClassifier,0.6936936936936937,0.0,0.6163353595556986,0.0,0.6936936936936937,0.0,0.7026690670758469,0.0,0.586682729164385,0.0,0.6019047619047619,0.0,0.6936936936936937,0.0,0.722822822822823,0.0,0.6705069124423964,0.0,0.6936936936936937,0.0,0.6936936936936937,0.0
SVC,0.7567567567567568,0.0,0.6980275040917868,0.0,0.7567567567567567,0.0,0.7571700349277203,0.0,0.6677383592017738,0.0,0.6753804126707352,0.0,0.7567567567567568,0.0,0.7627530232935639,0.0,0.7327188940092165,0.0,0.7567567567567568,0.0,0.7567567567567568,0.0
